label,packet_size,duration,protocol,network,protocol_code,network_code,label_code
non-reel,205,3.646830729222215,TCP,good,0.0,0,0
reel,1700,16.620391414509207,TCP,good,0.0,0,1
non-reel,686,2.2359368396322528,HTTP,good,2.0,0,0
non-reel,182,1.0677949086089764,TCP,good,0.0,0,0
reel,2231,15.899891163301955,UDP,good,1.0,0,1
non-reel,228,2.0880362091338758,HTTP,medium,2.0,1,0
non-reel,516,2.1953076739915725,TCP,medium,0.0,1,0
non-reel,694,2.407978900285002,HTTP,good,2.0,0,0
reel,1272,22.048334136231123,UDP,poor,1.0,2,1
reel,2232,16.058193768525193,UDP,good,1.0,0,1
reel,1125,26.74221904089053,TCP,poor,0.0,2,1
non-reel,691,1.4827582657671263,HTTP,medium,2.0,1,0
reel,1729,19.452631352743182,TCP,medium,0.0,1,1
non-reel,569,2.8978660166011614,TCP,good,0.0,0,0
reel,1902,18.89645472802784,UDP,medium,1.0,1,1
reel,1507,17.833070129157775,TCP,poor,0.0,2,1
non-reel,359,1.6090818314373907,HTTP,good,2.0,0,0
reel,1682,30.79899996230251,UDP,poor,1.0,2,1
non-reel,620,5.87761560215827,HTTP,poor,2.0,2,0
non-reel,620,1.2878850185243698,HTTP,good,2.0,0,0
non-reel,539,2.6012467004059148,HTTP,medium,2.0,1,0
reel,1667,22.64768747550745,TCP,poor,0.0,2,1
reel,2331,16.082363140097865,TCP,good,0.0,0,1
non-reel,542,4.614515286665918,HTTP,poor,2.0,2,0
non-reel,367,3.2861824742316976,TCP,good,0.0,0,0
non-reel,444,4.08867346008143,HTTP,poor,2.0,2,0
non-reel,674,2.109053461881269,TCP,medium,0.0,1,0
reel,1833,16.883382433525757,TCP,good,0.0,0,1
reel,1758,15.212234909980785,UDP,good,1.0,0,1
non-reel,511,3.534903052844083,HTTP,medium,2.0,1,0
non-reel,442,9.15485014379404,HTTP,poor,2.0,2,0
non-reel,495,4.118511374752805,HTTP,poor,2.0,2,0
non-reel,756,1.3173288696914844,TCP,medium,0.0,1,0
non-reel,-16,5.56980493116739,TCP,poor,0.0,2,0
non-reel,529,3.381722533167678,HTTP,medium,2.0,1,0
reel,1958,14.927334895079843,TCP,good,0.0,0,1
non-reel,603,3.1134563093558274,TCP,good,0.0,0,0
non-reel,633,2.544225337364371,HTTP,good,2.0,0,0
non-reel,625,0.4771466117301264,TCP,poor,0.0,2,0
non-reel,711,2.660346789623924,HTTP,good,2.0,0,0
non-reel,410,3.203986219093689,TCP,poor,0.0,2,0
reel,1717,17.34861493103379,UDP,medium,1.0,1,1
non-reel,621,2.7098758333920423,HTTP,good,2.0,0,0
reel,1973,14.393264120470894,TCP,good,0.0,0,1
reel,2264,16.45730476710083,TCP,good,0.0,0,1
reel,1617,14.551518301158191,TCP,good,0.0,0,1
non-reel,229,3.4567517329816257,TCP,medium,0.0,1,0
reel,2319,16.099618046767443,TCP,good,0.0,0,1
non-reel,534,0.7870197332218263,TCP,poor,0.0,2,0
non-reel,546,5.081967696731355,HTTP,poor,2.0,2,0
reel,2231,17.028667566034073,TCP,good,0.0,0,1
reel,1596,14.413377279613158,TCP,good,0.0,0,1
reel,2287,15.035379661205656,UDP,good,1.0,0,1
reel,1466,18.03637148764724,TCP,medium,0.0,1,1
non-reel,313,2.598560480693961,HTTP,medium,2.0,1,0
reel,2207,17.356019770935237,UDP,good,1.0,0,1
non-reel,368,2.403841769683778,TCP,good,0.0,0,0
non-reel,706,3.795251013581329,HTTP,good,2.0,0,0
non-reel,705,2.8601533956183536,TCP,poor,0.0,2,0
non-reel,470,3.668288087562281,TCP,good,0.0,0,0
non-reel,302,1.601812387499307,HTTP,poor,2.0,2,0
non-reel,734,1.9986179813453624,TCP,good,0.0,0,0
non-reel,689,1.2465865315375193,TCP,medium,0.0,1,0
non-reel,668,3.2001289123882346,TCP,good,0.0,0,0
reel,1083,23.18989264366248,TCP,poor,0.0,2,1
non-reel,922,1.920809898711924,HTTP,good,2.0,0,0
non-reel,724,1.359511999054681,HTTP,good,2.0,0,0
reel,928,25.503048848154403,TCP,poor,0.0,2,1
non-reel,330,3.225767203125885,HTTP,medium,2.0,1,0
non-reel,387,1.4109128536095017,HTTP,good,2.0,0,0
non-reel,444,3.780058096502952,HTTP,good,2.0,0,0
reel,2051,15.90118116386416,TCP,good,0.0,0,1
non-reel,456,2.229851032435521,HTTP,good,2.0,0,0
non-reel,844,4.245068442392768,TCP,good,0.0,0,0
reel,1621,23.45832606821889,UDP,poor,1.0,2,1
non-reel,434,3.142866674587055,HTTP,poor,2.0,2,0
non-reel,299,2.607443507199729,HTTP,medium,2.0,1,0
reel,1999,18.146402181016168,UDP,good,1.0,0,1
non-reel,501,10.159216456313752,HTTP,poor,2.0,2,0
non-reel,832,3.4742296316263754,TCP,good,0.0,0,0
non-reel,507,2.310210032691268,TCP,good,0.0,0,0
reel,2015,15.337152154562467,UDP,good,1.0,0,1
non-reel,220,4.991899606469444,HTTP,poor,2.0,2,0
reel,1907,16.031924826026238,UDP,good,1.0,0,1
non-reel,833,0.9063406785779108,HTTP,good,2.0,0,0
non-reel,919,3.643814459111125,TCP,good,0.0,0,0
non-reel,351,2.2213896401637845,TCP,poor,0.0,2,0
non-reel,547,3.148794693318745,TCP,good,0.0,0,0
non-reel,447,2.381370993213221,HTTP,good,2.0,0,0
reel,1394,19.1271790765781,UDP,medium,1.0,1,1
non-reel,674,1.1565705283779004,HTTP,good,2.0,0,0
non-reel,694,1.6199545279969552,HTTP,good,2.0,0,0
non-reel,540,1.7890126772134236,HTTP,poor,2.0,2,0
non-reel,515,2.977987195797273,HTTP,medium,2.0,1,0
non-reel,615,3.338299814821592,HTTP,medium,2.0,1,0
non-reel,633,2.211244936084255,HTTP,good,2.0,0,0
reel,1948,18.43791288714547,UDP,medium,1.0,1,1
non-reel,584,4.0531661578449,HTTP,medium,2.0,1,0
non-reel,890,2.490814947748699,HTTP,good,2.0,0,0
reel,2214,16.475760379536332,UDP,good,1.0,0,1
non-reel,491,4.871830118399828,HTTP,poor,2.0,2,0
non-reel,351,1.6207364415633307,TCP,good,0.0,0,0
reel,1803,18.56115226337288,UDP,medium,1.0,1,1
non-reel,664,3.35558681917719,HTTP,good,2.0,0,0
non-reel,893,4.955753598523906,HTTP,medium,2.0,1,0
non-reel,748,2.9732915734811787,HTTP,good,2.0,0,0
non-reel,373,1.824917336165671,TCP,good,0.0,0,0
reel,1841,17.22850526426543,UDP,good,1.0,0,1
non-reel,792,0.8579796721593898,HTTP,good,2.0,0,0
reel,1961,15.15966794076528,UDP,good,1.0,0,1
non-reel,359,3.7710482340613503,HTTP,good,2.0,0,0
non-reel,608,2.573692429686638,HTTP,medium,2.0,1,0
non-reel,608,4.5138224070777255,HTTP,medium,2.0,1,0
non-reel,486,1.283305428839967,TCP,medium,0.0,1,0
reel,2172,15.342916639910968,TCP,good,0.0,0,1
reel,1679,19.534034407286107,UDP,medium,1.0,1,1
non-reel,882,3.193058967240588,TCP,medium,0.0,1,0
non-reel,380,2.77807978698847,TCP,good,0.0,0,0
non-reel,781,2.4675094575702032,HTTP,good,2.0,0,0
non-reel,798,1.8733650285226335,HTTP,good,2.0,0,0
non-reel,673,6.7325932325156765,TCP,poor,0.0,2,0
non-reel,394,1.7584278206966757,HTTP,poor,2.0,2,0
non-reel,337,0.0180774552976616,HTTP,poor,2.0,2,0
non-reel,948,2.3893544285010564,TCP,good,0.0,0,0
non-reel,619,0.4284085280988763,TCP,medium,0.0,1,0
reel,1582,20.030995272617595,TCP,medium,0.0,1,1
reel,1566,25.473381862166885,TCP,poor,0.0,2,1
reel,2317,15.926646575822396,UDP,good,1.0,0,1
reel,1833,18.510785914820527,TCP,medium,0.0,1,1
non-reel,364,1.191694784512915,TCP,medium,0.0,1,0
reel,2195,14.27556633252311,UDP,good,1.0,0,1
non-reel,202,3.679675727245245,HTTP,medium,2.0,1,0
non-reel,755,2.5984074428468604,TCP,good,0.0,0,0
non-reel,705,3.378364453513325,TCP,medium,0.0,1,0
non-reel,375,3.321014029867825,TCP,poor,0.0,2,0
reel,2055,16.30380250492163,UDP,good,1.0,0,1
non-reel,630,0.9051037129182962,TCP,good,0.0,0,0
reel,1592,19.84366170333724,TCP,medium,0.0,1,1
reel,1528,19.560877866533144,TCP,medium,0.0,1,1
non-reel,544,3.39132381383176,TCP,good,0.0,0,0
reel,1575,19.312437355820144,TCP,medium,0.0,1,1
non-reel,902,1.4850956686577277,TCP,good,0.0,0,0
non-reel,328,2.9743039653551384,TCP,good,0.0,0,0
reel,2359,14.8201751115123,TCP,good,0.0,0,1
reel,1952,16.98995706889551,UDP,good,1.0,0,1
reel,1845,16.31762190031457,TCP,good,0.0,0,1
non-reel,311,1.7685114669187996,HTTP,poor,2.0,2,0
non-reel,301,3.372110544761049,TCP,medium,0.0,1,0
reel,1293,20.79266833319635,UDP,medium,1.0,1,1
reel,1863,18.215051092513995,UDP,medium,1.0,1,1
non-reel,479,4.696393853861598,HTTP,medium,2.0,1,0
non-reel,342,3.0978298305397542,HTTP,medium,2.0,1,0
non-reel,158,7.066005855462059,HTTP,poor,2.0,2,0
reel,1287,24.87652095844835,TCP,poor,0.0,2,1
reel,1749,16.481255792241534,TCP,good,0.0,0,1
non-reel,859,4.298162549113428,HTTP,good,2.0,0,0
non-reel,220,2.687479910801404,TCP,good,0.0,0,0
reel,1208,23.553490775729426,UDP,poor,1.0,2,1
non-reel,423,2.6884255768595686,HTTP,good,2.0,0,0
non-reel,605,4.09568751850124,TCP,medium,0.0,1,0
non-reel,650,2.2859704668448857,TCP,good,0.0,0,0
reel,1971,15.077222363292828,UDP,good,1.0,0,1
non-reel,475,2.774678679638244,HTTP,medium,2.0,1,0
reel,2079,16.574357645705273,TCP,good,0.0,0,1
non-reel,440,2.486356407992669,HTTP,good,2.0,0,0
non-reel,606,3.414233865868112,HTTP,medium,2.0,1,0
reel,1735,15.247285030955052,UDP,good,1.0,0,1
reel,1808,20.560376795154863,UDP,medium,1.0,1,1
non-reel,408,3.386374907056573,HTTP,medium,2.0,1,0
non-reel,825,2.888515481308985,HTTP,good,2.0,0,0
non-reel,265,3.0305219658233398,HTTP,medium,2.0,1,0
non-reel,419,3.613718506539628,HTTP,medium,2.0,1,0
non-reel,345,2.917747104715545,TCP,medium,0.0,1,0
non-reel,698,2.8557803731101368,TCP,medium,0.0,1,0
non-reel,317,3.2923776858092832,HTTP,good,2.0,0,0
reel,1876,18.89772816448732,TCP,medium,0.0,1,1
non-reel,512,3.580976716836908,HTTP,poor,2.0,2,0
non-reel,623,1.6139402451193188,HTTP,medium,2.0,1,0
non-reel,282,3.0374988525905477,TCP,poor,0.0,2,0
non-reel,695,1.25586018903691,TCP,good,0.0,0,0
reel,2050,18.26139644319526,TCP,medium,0.0,1,1
non-reel,461,1.8303593947482213,TCP,good,0.0,0,0
non-reel,560,4.905035587825175,HTTP,medium,2.0,1,0
reel,1647,20.310404229907935,TCP,medium,0.0,1,1
reel,1779,16.324049385907085,TCP,good,0.0,0,1
non-reel,435,2.8050287838581203,TCP,good,0.0,0,0
reel,1804,20.386397762647565,TCP,medium,0.0,1,1
non-reel,500,0.9243360705294874,HTTP,medium,2.0,1,0
non-reel,109,1.2606519631266206,HTTP,good,2.0,0,0
non-reel,616,2.9411472550977438,TCP,medium,0.0,1,0
non-reel,356,1.4285519951235068,HTTP,poor,2.0,2,0
reel,1883,17.901816774182958,UDP,medium,1.0,1,1
reel,1271,22.734862973895805,UDP,poor,1.0,2,1
non-reel,1061,3.1229811261324523,TCP,good,0.0,0,0
non-reel,410,3.45177321372353,HTTP,good,2.0,0,0
non-reel,573,3.5404720565350707,TCP,poor,0.0,2,0
non-reel,294,3.290029258301773,HTTP,medium,2.0,1,0
non-reel,548,3.614553694619085,TCP,medium,0.0,1,0
non-reel,190,4.010729898146705,TCP,poor,0.0,2,0
non-reel,670,5.671393179752713,TCP,poor,0.0,2,0
reel,1395,17.769926153631975,UDP,poor,1.0,2,1
reel,1698,24.96160677139352,TCP,poor,0.0,2,1
reel,1980,16.541948175827056,TCP,good,0.0,0,1
reel,1675,16.597945640674766,TCP,good,0.0,0,1
non-reel,431,1.9153316121467023,HTTP,good,2.0,0,0
reel,1921,16.592992910345785,TCP,good,0.0,0,1
reel,1676,25.756478238407755,UDP,poor,1.0,2,1
non-reel,1145,3.463700696852653,TCP,good,0.0,0,0
non-reel,397,0.9391111045766012,HTTP,poor,2.0,2,0
non-reel,573,2.1688518112513604,HTTP,medium,2.0,1,0
reel,2250,16.333293068557158,UDP,good,1.0,0,1
non-reel,371,2.28318730450801,TCP,good,0.0,0,0
non-reel,536,3.1883907839548327,TCP,good,0.0,0,0
non-reel,733,2.971355967220376,TCP,good,0.0,0,0
reel,1470,24.621885619280334,UDP,poor,1.0,2,1
reel,1683,19.64545304713352,UDP,medium,1.0,1,1
reel,1804,16.177654163435914,UDP,good,1.0,0,1
non-reel,620,1.6237491578959051,HTTP,good,2.0,0,0
non-reel,742,3.030069685056923,HTTP,good,2.0,0,0
reel,1856,15.361399326354146,TCP,good,0.0,0,1
non-reel,434,8.401445927062088,TCP,poor,0.0,2,0
reel,2117,20.266142559896203,UDP,medium,1.0,1,1
non-reel,695,1.8107810316853328,TCP,good,0.0,0,0
reel,1818,19.3570762830399,TCP,medium,0.0,1,1
reel,1792,14.572677015871664,TCP,good,0.0,0,1
non-reel,489,2.593412677708088,HTTP,good,2.0,0,0
non-reel,356,8.414485579768193,HTTP,poor,2.0,2,0
reel,1232,24.560454391447752,TCP,poor,0.0,2,1
non-reel,268,3.94281642503492,TCP,medium,0.0,1,0
non-reel,106,7.423327920590383,TCP,poor,0.0,2,0
non-reel,378,4.161093790897305,HTTP,poor,2.0,2,0
non-reel,676,4.11724591870106,TCP,medium,0.0,1,0
non-reel,723,2.288911357570623,HTTP,good,2.0,0,0
reel,1835,19.42425926118047,UDP,medium,1.0,1,1
non-reel,782,0.9812063437558284,HTTP,good,2.0,0,0
non-reel,338,2.2638762106454053,TCP,medium,0.0,1,0
non-reel,283,2.6767775194665986,HTTP,poor,2.0,2,0
reel,1652,19.748157899515256,UDP,medium,1.0,1,1
reel,1821,14.884716390167585,UDP,good,1.0,0,1
reel,2049,16.156172589288307,TCP,good,0.0,0,1
non-reel,467,0.9003609058064914,TCP,good,0.0,0,0
reel,1922,18.80118197065096,TCP,medium,0.0,1,1
non-reel,424,1.800057108097869,TCP,good,0.0,0,0
non-reel,532,8.522533031182803,TCP,poor,0.0,2,0
non-reel,755,1.4529573166230918,TCP,poor,0.0,2,0
non-reel,356,2.3412920783528053,TCP,good,0.0,0,0
reel,1289,26.673638470839613,UDP,poor,1.0,2,1
non-reel,266,1.5871576434069783,TCP,poor,0.0,2,0
non-reel,207,5.031368416154195,TCP,poor,0.0,2,0
non-reel,652,2.380190962793065,TCP,good,0.0,0,0
non-reel,700,1.5777734053699688,HTTP,good,2.0,0,0
reel,1853,15.226779491810468,TCP,good,0.0,0,1
reel,1897,16.750522478683912,UDP,good,1.0,0,1
reel,2048,15.39644483260554,UDP,good,1.0,0,1
reel,2062,16.753572465500266,TCP,good,0.0,0,1
non-reel,377,2.5267089252356945,TCP,good,0.0,0,0
reel,1860,21.434839180387836,UDP,poor,1.0,2,1
reel,1953,15.925051479723516,TCP,good,0.0,0,1
non-reel,617,4.614536800226496,TCP,good,0.0,0,0
reel,1574,19.26334523251813,UDP,medium,1.0,1,1
non-reel,458,2.212453455104108,HTTP,medium,2.0,1,0
non-reel,419,2.827779885509561,HTTP,good,2.0,0,0
non-reel,835,2.6117554385675734,HTTP,medium,2.0,1,0
non-reel,50,0.4353866288333625,HTTP,poor,2.0,2,0
non-reel,383,4.860164357261496,TCP,poor,0.0,2,0
non-reel,552,0.7576933435965891,TCP,poor,0.0,2,0
non-reel,280,3.736734611731866,HTTP,good,2.0,0,0
non-reel,692,3.616299142704651,TCP,good,0.0,0,0
reel,2263,16.675240403122324,UDP,good,1.0,0,1
non-reel,659,2.52245196422244,HTTP,good,2.0,0,0
reel,1400,21.386887591417583,UDP,poor,1.0,2,1
non-reel,593,2.787433567609801,TCP,good,0.0,0,0
reel,1343,21.713445516112834,UDP,poor,1.0,2,1
non-reel,536,6.962176776426027,HTTP,poor,2.0,2,0
reel,1227,19.87004529190373,UDP,poor,1.0,2,1
non-reel,665,3.951719773105692,TCP,good,0.0,0,0
non-reel,352,3.425970393918248,HTTP,poor,2.0,2,0
non-reel,393,2.307825095172737,HTTP,medium,2.0,1,0
non-reel,368,1.3534247446247745,HTTP,good,2.0,0,0
reel,2134,16.567930596573053,UDP,good,1.0,0,1
reel,1881,16.423871352093006,TCP,good,0.0,0,1
reel,2215,16.739115434968273,TCP,good,0.0,0,1
non-reel,594,2.392007365602811,HTTP,good,2.0,0,0
non-reel,599,1.9157179935540136,TCP,good,0.0,0,0
non-reel,380,2.603164653894269,HTTP,good,2.0,0,0
non-reel,309,1.783175066889287,TCP,medium,0.0,1,0
non-reel,619,2.831096857730511,HTTP,medium,2.0,1,0
non-reel,400,1.2326523052243443,TCP,poor,0.0,2,0
non-reel,611,3.7798565966833104,HTTP,good,2.0,0,0
reel,1830,19.66432211723388,UDP,medium,1.0,1,1
reel,2104,15.5952314047741,UDP,good,1.0,0,1
reel,1628,18.68154685690683,TCP,medium,0.0,1,1
non-reel,998,6.911349919383887,HTTP,poor,2.0,2,0
reel,2027,22.09457043985231,UDP,poor,1.0,2,1
reel,2088,15.860688891548508,TCP,good,0.0,0,1
non-reel,312,3.0641719020928684,TCP,good,0.0,0,0
reel,1821,15.23209093078532,UDP,good,1.0,0,1
non-reel,716,3.76335905418536,TCP,good,0.0,0,0
reel,1884,16.258467880379467,TCP,good,0.0,0,1
